name,scores_overall,rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,year
California Institute of Technology,95.0,20,93.6,2,96.9,4,97.8,44,90.4,78,83.8,167,"2,233",6.3,34%,36 : 64,2022
Harvard University,95.0,30,94.5,1,98.9,3,99.2,19,48.9,418,79.8,209,"21,574",9.5,24%,50 : 50,2022
Stanford University,94.9,40,92.3,3,96.8,5,99.9,13,91.0,74,79.7,211,"16,319",7.3,23%,46 : 54,2022
University of Cambridge,94.6,50,90.9,6,99.5,2,96.2,65,56.7,300,95.8,32,"19,680",11.1,39%,47 : 53,2022
Massachusetts Institute of Technology,94.6,60,90.9,7,94.4,10,99.7,16,93.7,61,89.9,106,"11,459",8.4,33%,40 : 60,2022
Princeton University,93.6,70,89.5,9,96.0,7,99.0,27,88.8,84,80.7,197,"7,753",7.5,23%,47 : 53,2022
"University of California, Berkeley",92.2,80,85.7,14,96.0,6,99.1,21,84.7,104,77.6,234,"40,306",18.9,23%,51 : 49,2022
Yale University,90.8,90,90.7,8,93.0,12,97.0,55,56.2,306,69.9,323,"13,317",5.9,21%,51 : 49,2022
The University of Chicago,89.8,100,87.2,12,90.6,15,98.3,36,56.3,304,74.4,261,"14,895",6.1,33%,46 : 54,2022
Columbia University,89.6,110,87.8,11,89.6,19,97.3,50,48.0,440,79.8,208,"21,608",4.6,35%,0,2022
Imperial College London,89.3,120,81.4,17,88.3,22,97.6,46,70.8,187,97.5,15,"17,715",11.2,59%,40 : 60,2022
Johns Hopkins University,88.4,130,80.0,20,90.8,14,97.2,52,93.7,60,74.6,260,"16,552",4.3,28%,52 : 48,2022
University of Pennsylvania,88.4,140,84.5,15,89.2,20,97.1,53,77.6,138,69.7,326,"21,211",6.4,22%,53 : 47,2022
ETH Zurich,88.2,150,81.3,18,92.4,13,90.7,128,62.5,243,97.9,13,"20,428",14.4,41%,32 : 68,2022
Peking University,87.5,160,91.4,4,94.6,9,81.7,258,93.1,63,65.1,381,"31,606",10.2,19%,46 : 54,2022
Tsinghua University,87.5,170,88.1,10,95.7,8,86.8,192,100.0,11,50.6,622,"38,221",11.5,13%,34 : 66,2022
University of Toronto,87.2,180,77.6,25,93.0,11,92.6,112,61.2,256,89.1,117,"75,821",25.5,25%,57 : 43,2022
UCL,87.2,190,76.8,26,88.9,21,96.9,58,44.7,535,96.7,22,"35,760",10.6,57%,58 : 42,2022
"University of California, Los Angeles",86.7,200,82.1,16,89.8,18,96.0,66,56.5,301,65.1,380,"42,054",10.0,17%,55 : 45,2022
National University of Singapore,85.2,210,76.3,27,90.6,16,87.3,182,75.4,154,94.4,56,"31,819",18.8,25%,50 : 50,2022
Cornell University,85.0,220,78.6,22,85.4,23,97.2,51,38.3,939,75.4,256,"23,600",10.3,25%,50 : 50,2022
Duke University,83.5,230,79.2,21,78.6,31,95.6,70,99.0,28,66.6,364,"15,785",4.2,22%,52 : 48,2022
University of Michigan-Ann Arbor,83.1,240,78.6,23,85.4,24,94.0,93,48.9,419,59.5,467,"44,663",8.1,17%,50 : 50,2022
Northwestern University,83.1,250,74.3,29,82.1,26,97.6,47,81.6,112,65.3,378,"18,735",13.0,19%,50 : 50,2022
New York University,82.4,260,75.4,28,83.1,25,94.7,82,41.4,692,72.3,288,"45,424",11.0,35%,57 : 43,2022
London School of Economics and Political Science,80.8,270,68.0,34,80.8,27,94.4,85,35.8,1278,92.7,77,"10,910",12.1,72%,53 : 47,2022
Carnegie Mellon University,80.6,280,64.7,44,80.0,28,99.0,26,59.0,275,80.8,195,"14,163",13.5,47%,43 : 57,2022
University of Washington,79.8,290,68.8,32,78.8,30,99.0,28,46.3,492,61.7,431,"52,059",11.6,17%,54 : 46,2022
University of Edinburgh,78.9,300,66.1,42,74.2,36,95.6,71,40.2,775,95.2,41,"31,630",12.1,44%,61 : 39,2022
University of Hong Kong,78.9,310,66.2,41,72.2,41,95.0,78,58.5,282,98.8,7,"18,037",18.3,43%,54 : 46,2022
LMU Munich,78.6,320,68.1,33,77.9,32,90.3,141,100.0,5,69.1,334,"34,274",33.7,18%,61 : 39,2022
University of Melbourne,77.8,330,67.5,37,73.8,38,88.4,169,74.9,158,94.0,58,"52,098",26.5,50%,57 : 43,2022
"University of California, San Diego",77.7,340,60.5,56,75.6,34,97.9,41,96.6,45,68.1,342,"36,256",12.2,29%,48 : 52,2022
King’s College London,76.0,350,57.6,65,71.2,44,96.9,57,43.7,577,95.9,30,"28,250",12.0,49%,62 : 38,2022
The University of Tokyo,76.0,360,86.9,13,90.3,17,58.2,623,88.1,88,42.0,836,"25,959",10.6,14%,0,2022
University of British Columbia,75.8,370,61.6,54,74.0,37,89.4,150,47.4,453,94.9,45,"54,744",18.9,33%,55 : 45,2022
Technical University of Munich,75.6,380,64.5,45,74.8,35,85.5,210,100.0,10,76.1,252,"32,672",38.7,33%,37 : 63,2022
Karolinska Institute,74.3,390,55.1,82,71.0,47,94.2,87,70.5,192,86.2,148,"7,937",9.6,24%,69 : 31,2022
École Polytechnique Fédérale de Lausanne,74.1,400,63.8,48,67.0,56,85.5,209,74.9,157,98.3,11,"11,266",12.3,62%,29 : 71,2022
Paris Sciences et Lettres – PSL Research University Paris,74.1,410,69.1,31,71.2,45,80.1,287,78.7,132,80.5,200,"20,547",15.1,25%,47 : 53,2022
Universität Heidelberg,73.6,420,67.9,35,59.9,78,95.5,74,54.2,329,69.6,327,"19,530",13.9,19%,55 : 45,2022
KU Leuven,73.6,430,59.1,61,73.2,40,86.2,201,99.2,26,74.2,264,"46,327",36.3,16%,51 : 49,2022
McGill University,73.4,440,63.3,50,70.9,48,83.9,234,45.3,518,91.5,92,"31,581",12.6,32%,59 : 41,2022
Georgia Institute of Technology,73.3,450,58.2,63,69.4,53,91.4,124,71.4,183,77.7,232,"27,838",25.7,25%,33 : 67,2022
"Nanyang Technological University, Singapore",73.0,460,57.2,68,70.3,49,85.1,216,87.0,92,93.9,59,"23,951",14.7,24%,48 : 52,2022
University of Texas at Austin,72.9,470,67.9,36,71.5,43,89.4,153,50.1,393,39.8,899,"49,845",16.7,10%,53 : 47,2022
University of Illinois at Urbana-Champaign,72.6,480,65.7,43,77.3,33,80.9,270,50.0,395,55.4,531,"47,202",18.3,23%,48 : 52,2022
Chinese University of Hong Kong,71.3,490,55.1,80,58.6,85,95.0,77,60.2,265,95.0,43,"18,478",19.1,25%,0,2022
University of Manchester,71.2,500,56.4,74,65.0,62,89.1,159,45.6,504,92.4,82,"36,545",14.3,43%,54 : 46,2022
Washington University in St Louis,70.7,510,60.5,57,57.5,92,98.5,34,44.9,529,62.1,424,"14,243",7.9,22%,0,2022
University of North Carolina at Chapel Hill,70.6,520,62.2,52,63.4,65,95.6,72,45.0,526,41.1,867,"31,064",8.1,8%,58 : 42,2022
Wageningen University & Research,70.1,530,50.1,103,58.1,89,95.6,73,100.0,12,86.4,147,"14,871",20.2,27%,53 : 47,2022
Australian National University,70.0,540,49.8,104,67.7,55,87.8,176,47.8,444,96.5,23,"18,934",17.6,47%,52 : 48,2022
The University of Queensland,70.0,550,55.0,84,62.0,70,85.8,204,86.2,97,93.4,72,"41,914",35.8,41%,55 : 45,2022
Seoul National University,70.0,560,73.8,30,73.8,39,68.5,454,98.2,32,36.9,985,"26,871",15.4,11%,0,2022
Monash University,69.9,570,54.3,89,61.7,71,87.7,178,79.2,128,91.0,95,"60,211",44.1,45%,57 : 43,2022
The University of Sydney,69.8,580,51.8,94,62.2,68,90.5,136,66.1,214,90.9,96,"47,956",19.3,47%,59 : 41,2022
University of Wisconsin-Madison,69.8,590,67.4,38,69.5,52,79.2,297,47.5,452,50.4,629,"39,783",10.3,14%,0,2022
Fudan University,69.7,600,66.8,40,68.4,54,79.0,300,70.7,189,48.6,662,"33,140",11.1,12%,52 : 48,2022
Kyoto University,69.6,610,78.5,24,78.9,29,58.3,621,80.8,117,38.2,947,"22,299",9.2,11%,25 : 75,2022
Boston University,69.5,620,57.3,66,60.2,76,93.8,96,46.5,483,65.5,376,"27,785",11.0,29%,59 : 41,2022
University of Southern California,69.3,630,62.1,53,58.8,82,90.3,142,41.2,707,65.5,377,"42,502",13.2,24%,49 : 51,2022
Brown University,69.1,640,62.2,51,56.6,95,92.9,107,37.4,1037,61.9,429,"9,851",10.6,20%,0,2022
University of Amsterdam,68.9,650,49.0,110,63.3,66,91.6,121,41.6,675,89.8,107,"25,556",13.1,29%,58 : 42,2022
The Hong Kong University of Science and Technology,68.8,660,50.9,99,62.1,69,86.6,193,65.1,222,97.6,14,"10,147",21.3,31%,0,2022
"University of California, Davis",67.9,670,58.8,62,64.6,64,81.5,259,50.7,381,68.9,337,"37,222",13.2,19%,59 : 41,2022
"University of California, Santa Barbara",67.7,680,45.2,149,58.9,79,96.6,62,79.8,125,73.6,272,"25,578",28.2,19%,54 : 46,2022
Utrecht University,67.6,690,46.6,135,63.1,67,90.1,145,77.0,141,76.3,247,"33,569",18.1,11%,59 : 41,2022
UNSW Sydney,67.4,700,50.4,101,60.4,74,84.1,231,72.7,177,95.2,42,"48,077",40.5,44%,46 : 54,2022
Leiden University,67.1,710,44.8,156,65.1,61,86.8,190,71.8,179,84.1,164,"31,556",19.4,19%,60 : 40,2022
Erasmus University Rotterdam,67.0,720,40.2,214,57.8,91,97.0,54,76.5,146,88.5,126,"28,933",29.3,22%,53 : 47,2022
Charité - Universitätsmedizin Berlin,66.8,730,48.6,114,50.6,120,98.7,30,92.2,66,68.1,344,"7,998",18.7,21%,64 : 36,2022
Humboldt University of Berlin,66.3,740,59.9,59,66.7,57,73.5,386,41.6,679,70.1,319,"33,868",54.2,18%,0,2022
Delft University of Technology,65.8,750,57.1,69,71.1,46,59.4,600,97.7,36,93.6,66,"20,133",17.0,31%,31 : 69,2022
Zhejiang University,65.8,760,67.2,39,69.9,51,58.6,616,100.0,14,61.6,433,"40,352",11.8,20%,0,2022
University of Zurich,65.8,770,52.2,92,49.6,127,89.4,154,61.9,250,92.5,80,"23,714",15.0,22%,57 : 43,2022
University of Tübingen,65.4,780,53.3,90,58.7,84,82.9,244,82.7,109,65.2,379,"20,438",26.2,14%,59 : 41,2022
University of Warwick,65.4,790,46.9,129,53.0,108,90.7,131,44.8,531,94.5,55,"22,710",14.2,43%,50 : 50,2022
University of Groningen,65.2,800,42.5,180,55.3,101,90.6,133,81.1,115,88.7,123,"29,440",23.8,27%,52 : 48,2022
McMaster University,65.2,810,44.3,160,50.6,121,93.1,105,98.3,31,85.1,158,"26,112",30.2,20%,56 : 44,2022
Emory University,65.1,820,55.1,81,44.9,166,98.1,38,48.2,431,59.7,461,"13,179",4.4,20%,60 : 40,2022
Free University of Berlin,64.8,830,55.4,78,65.2,59,72.9,393,41.9,656,75.7,254,"27,018",43.2,23%,61 : 39,2022
Shanghai Jiao Tong University,64.7,840,64.2,46,71.9,42,59.3,605,100.0,9,47.0,706,"36,638",11.3,10%,43 : 57,2022
Ohio State University (Main campus),63.8,850,54.7,87,52.2,111,86.1,202,53.2,339,60.6,448,"55,809",12.4,13%,50 : 50,2022
University of Glasgow,63.7,860,41.9,185,49.9,126,94.0,92,40.7,739,93.1,73,"27,625",13.9,40%,59 : 41,2022
University of Minnesota,63.7,870,55.9,75,57.9,90,81.7,256,80.4,120,40.8,874,"61,321",12.0,10%,54 : 46,2022
University of Montreal,63.6,880,50.4,100,52.9,109,81.7,257,69.5,199,85.7,152,"36,524",19.6,23%,0,2022
University of Science and Technology of China,63.6,890,63.4,49,61.5,73,72.8,394,70.3,193,34.5,1038,"16,718",7.3,5%,0,2022
Sorbonne University,63.6,900,61.0,55,53.6,106,76.6,343,38.2,956,70.4,311,"42,330",14.2,21%,58 : 42,2022
Hong Kong Polytechnic University,63.3,910,45.4,147,53.9,105,83.7,236,46.0,496,97.1,19,"21,979",26.4,29%,52 : 48,2022
Institut Polytechnique de Paris,63.3,920,57.3,67,54.7,102,69.0,443,77.1,140,94.5,53,"6,087",6.9,40%,24 : 76,2022
University of Bristol,63.1,930,40.6,199,49.2,130,94.7,81,43.7,573,89.1,116,"24,110",14.4,30%,56 : 44,2022
"University of Maryland, College Park",63.0,940,49.3,108,56.8,94,89.8,147,39.3,845,42.9,811,"34,017",16.7,11%,48 : 52,2022
Michigan State University,63.0,950,58.1,64,56.1,97,77.2,330,37.7,1019,62.0,427,"45,689",16.0,14%,52 : 48,2022
University of Copenhagen,62.7,960,46.8,130,47.1,143,88.8,161,54.4,324,86.8,142,"30,326",4.2,18%,61 : 39,2022
Ghent University,62.7,970,48.9,111,58.4,87,79.2,294,83.3,107,62.4,419,"38,984",35.7,11%,56 : 44,2022
"University of California, Irvine",62.4,980,42.5,179,49.0,133,93.8,97,52.0,359,73.2,277,"35,944",17.1,28%,51 : 49,2022
Dartmouth College,62.3,990,60.1,58,40.2,216,93.6,100,38.9,871,41.7,845,"6,378",7.6,15%,49 : 51,2022
Korea Advanced Institute of Science and Technology (KAIST),62.3,1000,64.1,47,66.5,58,59.3,604,100.0,4,38.0,956,"9,504",10.3,10%,20 : 80,2022
University of Bern,62.2,1010,45.0,153,44.9,164,88.2,170,90.6,77,87.3,136,"11,556",16.6,16%,57 : 43,2022
University of Helsinki,62.2,1020,44.3,159,56.9,93,88.5,165,37.8,1002,57.3,502,"22,628",15.7,6%,67 : 33,2022
University of Basel,62.1,1030,42.9,176,42.0,196,89.5,148,99.9,15,97.0,21,"9,440",12.3,30%,56 : 44,2022
Aarhus University,61.7,1040,39.3,228,58.4,86,82.4,248,74.9,156,76.9,243,"26,521",13.6,9%,55 : 45,2022
University of Birmingham,61.5,1050,40.3,211,45.2,159,93.3,102,40.6,745,91.7,88,"31,365",14.9,32%,58 : 42,2022
Nanjing University,61.5,1060,54.9,85,54.6,104,74.0,377,86.8,94,56.6,513,"37,137",17.1,9%,52 : 48,2022
Purdue University West Lafayette,61.5,1070,56.7,71,65.2,60,59.6,598,68.9,201,70.9,308,"43,411",16.6,21%,44 : 56,2022
University of Freiburg,61.4,1080,47.1,126,51.8,114,82.2,251,97.2,40,61.4,435,"21,416",39.7,12%,53 : 47,2022
RWTH Aachen University,61.4,1090,55.3,79,61.6,72,64.1,520,98.7,30,62.0,428,"45,628",55.5,25%,33 : 67,2022
University of Sheffield,61.3,1100,45.5,145,46.4,151,86.3,198,48.8,421,87.8,132,"27,265",15.3,38%,52 : 48,2022
University of Adelaide,61.2,1110,35.6,310,45.2,158,94.3,86,65.5,219,93.7,65,"22,061",30.6,32%,49 : 51,2022
University of Bonn,61.1,1120,48.4,117,48.7,134,85.2,214,55.5,313,67.1,352,"27,743",49.8,16%,56 : 44,2022
National Taiwan University (NTU),61.0,1130,55.8,76,64.7,63,64.8,504,75.4,155,46.9,708,"24,810",11.4,12%,41 : 59,2022
Vanderbilt University,61.0,1140,48.6,115,43.8,173,94.1,90,56.9,299,48.7,661,"12,366",3.0,16%,55 : 45,2022
Vrije Universiteit Amsterdam,60.9,1150,39.9,218,51.5,117,87.8,177,59.3,273,75.4,257,"26,593",18.6,14%,57 : 43,2022
Lund University,60.8,1160,39.6,225,53.1,107,83.1,243,82.0,111,79.9,206,"28,498",11.2,19%,55 : 45,2022
Université Paris-Saclay,60.4,1170,51.6,96,47.9,138,80.2,282,56.4,303,68.2,340,"40,884",12.7,19%,49 : 51,2022
Queen Mary University of London,60.4,1180,33.7,364,41.6,201,98.1,39,42.7,620,97.1,20,"19,975",13.5,46%,55 : 45,2022
University of Göttingen,60.1,1190,46.8,131,50.0,124,84.9,223,37.7,1013,62.2,422,"30,610",26.6,14%,52 : 48,2022
University of Oslo,60.1,1200,40.5,206,46.5,149,89.5,149,44.3,550,80.4,202,"21,413",13.2,19%,66 : 34,2022
Penn State (Main campus),60.1,1210,49.3,109,60.3,75,75.3,358,40.7,741,47.5,687,"46,513",14.1,16%,47 : 53,2022
Lancaster University,60.0,1220,38.6,243,40.9,208,93.9,95,36.4,1165,94.6,50,"13,510",12.3,37%,51 : 49,2022
Sungkyunkwan University (SKKU),60.0,1230,56.9,70,60.2,77,60.7,585,99.4,23,56.3,523,"23,104",19.2,19%,44 : 56,2022
University of Southampton,59.9,1240,39.9,217,42.1,195,90.6,134,43.4,590,94.5,54,"21,815",14.1,36%,53 : 47,2022
University of Alberta,59.6,1250,48.2,118,50.7,119,71.9,403,64.7,229,88.9,119,"33,475",21.9,28%,55 : 45,2022
Case Western Reserve University,59.4,1260,47.6,119,41.7,198,91.9,117,41.7,669,53.8,562,"10,898",9.4,23%,50 : 50,2022
University of Leeds,59.2,1270,43.7,164,46.5,148,81.1,264,39.8,796,90.3,99,"33,320",14.6,32%,61 : 39,2022
Maastricht University,59.2,1280,39.8,222,50.0,125,76.1,347,84.6,105,98.1,12,"18,159",18.0,55%,60 : 40,2022
University of Virginia (Main campus),59.2,1290,49.4,107,41.2,204,90.5,137,43.1,608,51.0,617,"25,377",9.0,13%,52 : 48,2022
Georgetown University,59.1,1300,55.0,83,35.3,284,88.8,162,70.2,194,48.9,653,"16,703",8.6,20%,54 : 46,2022
Uppsala University,59.0,1310,38.5,245,55.8,98,78.4,313,71.8,180,71.4,303,"26,917",16.5,17%,58 : 42,2022
Arizona State University (Tempe),58.6,1320,46.3,137,49.2,129,80.9,269,38.5,915,62.8,409,"48,255",19.7,18%,44 : 56,2022
University of Hamburg,58.6,1330,45.4,146,52.5,110,74.9,363,93.8,57,58.7,479,"30,953",59.8,13%,57 : 43,2022
The University of Western Australia,58.6,1340,34.4,350,43.6,178,88.0,174,65.0,225,95.5,37,"18,683",21.3,30%,49 : 51,2022
Rice University,58.5,1350,47.3,123,37.5,254,87.2,184,44.2,554,77.8,230,"6,885",9.2,28%,43 : 57,2022
University of Auckland,58.4,1360,34.0,357,46.3,152,84.8,226,69.4,200,94.6,49,"32,983",22.7,32%,56 : 44,2022
University of Vienna,58.4,1370,46.9,128,55.4,100,65.4,496,37.8,1012,95.4,38,"33,852",38.3,29%,66 : 34,2022
Radboud University Nijmegen,58.3,1380,35.5,316,50.4,123,85.9,203,44.4,542,74.8,259,"21,818",17.7,15%,56 : 44,2022
Technical University of Berlin,58.3,1390,50.2,102,55.4,99,64.1,521,96.9,43,66.8,361,"22,118",55.0,27%,34 : 66,2022
University of Pittsburgh-Pittsburgh campus,58.2,1400,45.6,143,42.3,193,91.7,119,42.6,623,43.6,793,"26,841",5.6,12%,54 : 46,2022
University of Nottingham,58.1,1410,43.6,167,44.2,171,80.1,286,40.5,757,89.2,114,"31,360",14.8,30%,54 : 46,2022
University of Rochester,57.9,1420,44.9,155,39.3,227,86.4,195,50.5,386,73.1,279,"10,177",6.7,36%,49 : 51,2022
University of Antwerp,57.8,1430,35.4,318,47.0,144,85.4,211,85.7,99,70.6,310,"15,347",30.8,17%,55 : 45,2022
University of Exeter,57.8,1440,33.9,358,39.3,225,93.5,101,37.5,1031,91.6,90,"22,740",16.1,28%,54 : 46,2022
University of Technology Sydney,57.8,1450,36.5,293,43.7,176,83.7,237,55.0,317,97.2,18,"26,955",39.6,37%,52 : 48,2022
University of Mannheim,57.6,1460,43.0,173,50.5,122,76.6,342,60.7,261,67.5,350,"7,641",57.5,25%,0,2022
Newcastle University,57.6,1470,34.1,356,39.8,223,92.8,108,42.3,641,87.5,135,"24,630",14.5,27%,52 : 48,2022
Trinity College Dublin,57.6,1480,40.4,209,45.0,163,79.5,290,42.1,649,95.0,44,"17,495",21.2,32%,60 : 40,2022
Ulm University,57.6,1490,39.8,223,38.6,237,92.4,115,85.7,100,56.9,511,"10,284",27.2,13%,50 : 50,2022
University of Arizona,57.5,1500,46.6,133,48.0,136,82.4,249,50.5,384,41.4,852,"39,616",17.3,10%,53 : 47,2022
City University of Hong Kong,57.4,1510,42.7,178,44.3,170,75.4,356,46.6,480,99.7,2,"9,506",10.7,56%,54 : 46,2022
University of Sussex,57.4,1520,32.2,410,37.5,255,95.1,76,36.2,1197,93.8,63,"17,405",17.6,37%,55 : 45,2022
Yonsei University (Seoul campus),57.4,1530,54.9,86,58.2,88,55.7,660,96.9,44,58.6,481,"18,521",14.7,21%,49 : 51,2022
University of Florida,57.3,1540,54.5,88,58.9,80,62.0,559,58.4,284,42.7,819,"47,007",16.3,9%,56 : 44,2022
Université Paris Cité,57.2,1550,48.8,113,35.5,280,86.5,194,36.3,1180,67.7,349,"62,366",17.0,19%,64 : 36,2022
Pompeu Fabra University,57.1,1560,36.4,297,39.2,230,94.2,89,47.8,445,66.8,360,"11,863",22.9,13%,60 : 40,2022
Wuhan University,56.9,1570,43.2,172,37.7,249,92.3,116,80.9,116,39.8,902,"54,421",15.2,7%,0,2022
University of Aberdeen,56.8,1580,32.2,406,35.2,288,94.0,91,47.1,460,95.8,31,"13,105",16.8,44%,58 : 42,2022
University of Colorado Boulder,56.8,1590,43.2,170,42.8,185,88.1,172,43.2,599,47.2,697,"35,491",16.6,10%,45 : 55,2022
Lomonosov Moscow State University,56.8,1600,80.3,19,69.9,50,12.8,1512,99.3,24,72.5,284,"29,118",9.1,36%,54 : 46,2022
Université Catholique de Louvain,56.8,1610,38.4,247,52.1,112,73.2,391,62.5,244,80.9,194,"26,424",39.1,20%,54 : 46,2022
Durham University,56.7,1620,44.9,154,47.8,140,69.7,435,37.8,1000,93.8,62,"17,725",15.0,33%,54 : 46,2022
University of Ottawa,56.7,1630,40.4,207,40.6,211,83.3,241,50.0,396,82.1,180,"35,791",25.4,22%,58 : 42,2022
Southern University of Science and Technology (SUSTech),56.7,1640,29.4,507,39.4,224,98.5,33,78.5,133,60.4,451,"4,245",8.4,1%,0,2022
University of Würzburg,56.6,1650,38.1,258,43.2,182,85.6,207,73.9,167,62.4,420,"23,374",35.6,10%,57 : 43,2022
Bielefeld University,56.5,1660,36.4,294,41.8,197,94.4,84,42.4,631,48.1,675,"25,182",70.6,8%,58 : 42,2022
Indiana University,56.3,1670,48.9,112,46.4,150,74.7,366,52.0,360,54.0,558,"66,716",12.9,14%,53 : 47,2022
"Northeastern University, US",56.1,1680,38.3,252,29.1,406,97.4,49,37.8,1006,76.2,249,"20,910",14.1,36%,48 : 52,2022
University of York,56.0,1690,39.0,236,43.7,177,79.1,299,37.1,1082,86.7,143,"17,300",14.7,26%,57 : 43,2022
Autonomous University of Barcelona,55.9,1700,36.6,286,38.9,234,90.6,132,42.9,612,66.9,354,"31,595",12.7,16%,59 : 41,2022
University of Canberra,55.9,1710,27.9,557,33.8,308,98.6,31,44.2,552,89.8,108,"9,893",35.4,29%,0,2022
University of Bologna,55.8,1720,49.8,105,36.9,264,82.7,245,45.3,515,52.1,594,"68,370",24.3,12%,57 : 43,2022
University of Cologne,55.8,1730,42.2,181,43.7,175,77.1,333,76.9,144,66.7,362,"32,405",28.9,18%,0,2022
TU Dresden,55.8,1740,46.7,132,47.2,142,69.3,440,97.4,39,59.3,472,"30,519",32.3,17%,44 : 56,2022
Tufts University,55.8,1750,45.6,144,33.0,323,91.6,123,39.5,834,50.4,627,"11,152",9.9,16%,56 : 44,2022
University of Lausanne,55.5,1760,32.8,394,45.4,157,77.1,334,78.1,134,92.0,86,"13,016",9.5,23%,0,2022
Stockholm University,55.5,1770,30.5,467,49.1,132,84.9,225,36.5,1156,69.4,331,"28,072",19.6,10%,0,2022
University of Liverpool,55.4,1780,33.1,380,36.5,269,88.5,166,39.1,857,93.6,68,"25,910",14.6,35%,55 : 45,2022
Ulsan National Institute of Science and Technology (UNIST),55.4,1790,37.7,264,41.1,206,85.4,212,91.8,70,51.0,616,"3,657",13.9,10%,26 : 74,2022
Karlsruhe Institute of Technology,55.3,1800,45.7,142,51.5,116,61.3,573,93.3,62,71.7,293,"23,224",22.6,24%,29 : 71,2022
Huazhong University of Science and Technology,55.2,1810,38.3,251,38.4,240,92.7,110,89.8,80,27.9,1230,"56,709",16.2,5%,36 : 64,2022
University of East Anglia,55.1,1820,28.3,542,32.5,334,97.9,42,35.9,1254,87.5,134,"15,760",13.5,26%,59 : 41,2022
University of Cape Town,54.9,1830,31.4,439,41.4,203,85.5,208,56.4,302,80.1,204,"21,757",13.3,16%,54 : 46,2022
University of Notre Dame,54.9,1840,51.2,98,43.2,180,70.7,420,39.7,810,59.0,476,"12,234",10.8,13%,46 : 54,2022
University of Gothenburg,54.8,1850,29.6,500,42.3,191,90.5,135,42.7,618,66.1,368,"21,033",10.6,13%,0,2022
University of Leicester,54.8,1860,30.0,490,32.3,339,94.2,88,39.9,789,91.0,94,"15,030",14.1,31%,54 : 46,2022
Pohang University of Science and Technology (POSTECH),54.8,1870,52.3,91,49.1,131,65.4,495,98.0,34,31.1,1138,"3,183",10.1,3%,24 : 76,2022
Technical University of Denmark,54.8,1880,39.6,226,40.6,213,72.4,399,86.0,98,92.2,83,"9,321",6.6,23%,32 : 68,2022
Cardiff University,54.7,1890,31.9,421,36.1,274,89.1,157,39.9,786,87.0,140,"26,620",14.7,28%,59 : 41,2022
King Abdulaziz University,54.5,1900,36.7,284,22.9,577,92.4,114,74.0,165,93.6,67,"32,034",7.8,22%,54 : 46,2022
Rutgers University – New Brunswick,54.5,1910,46.6,134,47.5,141,70.4,428,47.2,458,52.8,586,"44,870",10.8,17%,52 : 48,2022
Macquarie University,54.4,1920,39.0,235,43.3,179,71.4,411,63.3,238,89.5,110,"30,249",69.6,30%,53 : 47,2022
University of Barcelona,54.3,1930,31.9,420,40.0,219,90.4,138,47.1,461,59.4,469,"45,382",16.1,11%,62 : 38,2022
Queensland University of Technology,54.3,1940,32.2,409,36.7,266,86.8,191,50.0,397,84.6,161,"36,366",40.2,18%,53 : 47,2022
Texas A&M University,54.3,1950,47.4,122,51.1,118,64.6,510,46.5,486,56.1,525,"62,790",21.6,8%,47 : 53,2022
Medical University of Graz,54.1,1960,30.3,475,29.1,404,95.9,68,66.7,208,78.0,228,"3,733",13.3,26%,53 : 47,2022
University of Erlangen-Nuremberg,54.0,1970,42.2,182,45.7,156,71.5,408,88.7,85,52.8,584,"30,747",44.7,13%,51 : 49,2022
University of Geneva,54.0,1980,34.4,345,33.6,311,83.1,242,51.6,367,98.6,10,"17,744",8.2,39%,62 : 38,2022
University of Hohenheim,54.0,1990,34.4,346,31.2,364,97.5,48,48.5,424,51.4,610,"8,614",38.5,11%,58 : 42,2022
Sapienza University of Rome,54.0,2000,51.5,97,41.7,199,70.9,419,55.9,310,44.3,772,"71,992",30.6,9%,59 : 41,2022
Scuola Normale Superiore di Pisa,54.0,2010,56.5,73,38.6,236,67.8,461,36.9,1104,55.4,533,581,6.9,12%,30 : 70,2022
Aalborg University,50.4–53.9,2020,27.0,599,38.0,245,79.3,292,49.8,398,78.5,224,"16,519",12.8,13%,0,2022
Aalto University,50.4–53.9,2030,38.9,237,38.6,235,71.6,407,54.2,328,83.7,170,"12,815",19.4,24%,37 : 63,2022
Alfaisal University,50.4–53.9,2040,20.2,1082,21.2,645,99.0,24,41.7,667,97.3,16,"2,724",10.1,34%,59 : 41,2022
Auckland University of Technology,50.4–53.9,2050,20.8,1024,21.5,630,98.9,29,37.0,1083,96.2,27,"18,528",17.4,50%,59 : 41,2022
University of Bath,50.4–53.9,2060,32.2,407,34.0,304,78.9,302,38.7,895,92.9,75,"14,655",15.7,34%,46 : 54,2022
University of Bergen,50.4–53.9,2070,28.7,531,30.3,379,91.6,122,37.5,1030,78.7,222,"14,327",12.3,13%,59 : 41,2022
Brighton and Sussex Medical School,50.4–53.9,2080,21.5,969,24.2,537,100.0,3,34.8,1575,80.6,198,975,10.3,17%,60 : 40,2022
University of Calgary,50.4–53.9,2090,34.9,333,37.2,258,80.4,276,65.6,218,80.4,201,"33,099",18.2,21%,54 : 46,2022
